epochs,test_kl_losses,test_losses,test_recon_losses,train_kl_losses,train_losses,train_recon_losses
0,25.388104516106683,45.18671272896432,19.798608444832468,25.988481019587653,77.45335843429379,51.46487738919233
1,27.014739113885003,43.51198062381229,16.49724189655201,27.87101382023364,53.22808206027412,25.35706823605438
2,25.861983531230205,42.711729513632285,16.84974580197721,27.911598040807625,49.29959593812417,21.387997879545185
3,25.5345658482732,39.60807820912954,14.0735126959311,27.767974273870315,47.5665513822236,19.798577126124645
4,24.84834232845822,41.01118531098237,16.16284298252415,27.559201012003175,46.5105061316814,18.951305112287336
5,25.316577602077174,37.86619877170872,12.549621298506453,27.383758622650817,45.82517731526055,18.44141869344017
6,24.731004147916227,35.991415900153086,11.260411752236855,27.226296768334635,45.236339476082804,18.010042712398622
7,24.45363606633367,43.66167336541253,19.208037299078864,27.085852132529507,44.79730266496638,17.71145054173777
8,23.986914866679424,36.1804807508314,12.193566064576846,26.95190618263226,44.352178443395815,17.40027223186433
9,23.433348681475664,42.536577379381335,19.10322885255556,26.825971792068934,44.11830548366492,17.292333674655065
10,23.861905948535817,35.046788911561706,11.184883014575854,26.665691925980248,43.70492101720466,17.03922908483005
11,23.725116626636403,35.61768928734032,11.892572016329378,26.542435235654963,43.67988695678126,17.13745173291851
12,23.478695637470967,41.09571054819468,17.617014781848805,26.404695352084627,43.27802803307948,16.873332693949678
13,23.437671042777396,36.843552254341745,13.40588126311431,26.22912575832355,42.90610654824953,16.676980798977752
14,23.12728165291451,35.756401886811126,12.629120672071302,26.059427751310608,42.71432136401446,16.654893569105887
15,22.98570323634792,34.08969281170819,11.103989317610457,25.92152327703956,42.46590409532983,16.544380825182902
16,22.44268644178236,35.36603793582401,12.923351957991317,25.78966179943716,42.188036348295725,16.398374497288405
17,22.353079151462865,33.72315195444468,11.370072802981815,25.716904198405054,42.15920669033485,16.44230247540409
18,22.16916424519307,33.033929257779505,10.864765012586439,25.617302740463103,41.72531133809184,16.108008589324367
19,21.95121698121767,34.14913662059887,12.197919794031092,25.53295579383449,41.60173154350608,16.06877573422545
20,21.87505835455817,33.11614784034523,11.241089253812223,25.441695284569402,41.390809345477884,15.949114025697938
21,21.906392844947607,35.25922435038799,13.352830835290858,25.37885385006407,41.21967704883231,15.840823191958659
22,21.553794345340215,34.77500668087521,13.221212232435072,25.320236160546717,41.028850609232265,15.708614437142469
23,21.67874661007443,32.473615801012194,10.794869113612819,25.265515142930422,40.927578471006726,15.662063316782357
24,21.724486686087943,32.134002530896986,10.409515741709116,25.250669331718345,40.90353116886161,15.65286181987017
25,21.50696744145574,31.96693621455012,10.459968773094383,25.21969268563648,40.89860661425934,15.678913938338978
26,21.976053598764782,34.49962337596996,12.523569467905405,25.211033920260185,40.640968221108366,15.429934318536501
27,21.711227365442223,32.386208096066035,10.674980730623812,25.15505582503183,40.595898087454025,15.440842279529207
28,21.143066045400257,32.2286999161179,11.085633973817568,25.145277801933542,40.926676875413065,15.781399057285995
29,21.685458002863705,32.3989433597874,10.713485408473659,25.093987122100224,40.66635298687421,15.572365864773985
30,21.656948038049645,32.36965390798208,10.712706024582321,25.0605625697687,40.45707592155326,15.396513305861374
31,21.02659003799026,33.07439149392618,12.047801455935916,25.074344710911745,40.422860155534096,15.348515434407972
32,21.243735236090583,33.70852465242953,12.464789261689058,25.06772368031485,40.62568200369489,15.557958309511738
33,21.841919563912057,33.337976713438294,11.496056917551401,25.022721590210196,40.262710232802775,15.239988620752078
34,21.57436870884251,31.60587671640757,10.031508033340042,25.012598901706802,40.129316923552715,15.116718013707622
35,22.3637533445616,68.39504386283257,46.03128948727169,24.982577713056543,40.09593797070521,15.11336027060349
36,21.14163878157332,32.63274857804582,11.491110208872202,24.952875781914617,40.5906488308297,15.637773021759783
37,22.11494069486051,38.90448534166491,16.789544389054583,24.939431670151368,40.30138669135221,15.361955047110488
38,21.792194521104967,34.46116555703653,12.668971113256505,24.93627017651315,40.31877455882435,15.382504391778184
39,21.481587229548275,33.36482537759317,11.883238740869471,24.920021196974567,39.90173535229063,14.9817141965888
40,21.15685308301771,33.59047967034417,12.43362635535163,24.899508304855043,40.03319310128834,15.133684784391955
41,21.108522827560837,31.10934370917243,10.000820469211888,24.88322094299784,39.9228835888168,15.039662601473605
42,20.89303815687025,31.06480180895006,10.171763497429925,24.865037630925567,39.76822279389002,14.903185145940485
43,20.867498913326777,33.12305579314361,12.255556647841995,24.839643425743823,39.641522957945654,14.801879523482235
44,20.59397315979004,33.22301709974134,12.629043939951304,24.820764187029205,39.999674897042766,15.178910718567069
45,20.531135301332217,30.932088748828786,10.400953911446237,24.831229771773852,39.806160255493246,14.974930487705498
46,20.77384799235576,31.446391389176654,10.67254334527093,24.80542576782216,39.63045410792697,14.8250283455857
