epochs,test_kl_losses,test_losses,test_recon_losses,train_kl_losses,train_losses,train_recon_losses
0,25.269303708463102,46.49425485971812,21.2249515894297,26.13313897203292,76.33178284524502,50.19864390046702
1,25.524088885333086,42.38997206816802,16.86588292508512,27.98863691454854,53.829323747356526,25.840686844932375
2,25.49187283902555,38.904029639991556,13.412156826740986,28.026124205833444,49.962757061101634,21.9366328000441
3,25.09348199174211,38.90617762385188,13.812695503234863,27.93714298466198,48.18267946698366,20.245536500591303
4,25.315459741128457,42.40216641812711,17.086706754323597,27.79903789564775,47.080287991812405,19.281250128468667
5,25.297580048844623,40.2438751426903,14.946295119620657,27.662926256179144,46.25302619694916,18.590099974236644
6,24.68041873622585,38.920547072951855,14.240128310951027,27.548152065077794,45.72532264665625,18.1771706188651
7,24.655080382888382,36.708136893607474,12.053056845793853,27.440309401133135,45.34481218790435,17.90450276841855
8,24.18976201237859,36.893988841288795,12.704227112435007,27.340368772624302,44.99550555251443,17.65513680463716
9,24.336509549939954,37.32498241115261,12.988472912762616,27.25367973607328,44.76926741571802,17.515587681803876
10,25.35060367068729,37.98911728730073,12.638513023788864,27.130598993344574,44.54785716263769,17.417258219285443
11,23.847164566452438,37.379040073704076,13.531875326826766,27.077131585765905,44.25911263280196,17.181981069374814
12,23.21643757175755,38.62847137451172,15.412033828529152,26.98187500888236,43.98761985676499,17.00574481931558
13,23.432055911502324,37.67066728746569,14.238611556388236,26.891573934179696,43.92850558295228,17.036931650101288
14,23.398425540408574,36.01199248030379,12.61356663059544,26.805336248496815,43.66239104043395,16.857054789694956
15,23.298726726222682,38.839465991870775,15.54073952339791,26.717923639045697,43.55548902356803,16.83756538792713
16,23.097099201099294,35.17460529224293,12.077506503543338,26.61213967975363,43.31946324355425,16.70732358422939
17,22.931030376537425,35.25225592948295,12.321225681820431,26.54409311624073,43.13611636665049,16.592023223171413
18,23.000667881321263,34.25567730053051,11.255009857383934,26.45602873981892,42.96753047044914,16.51150174092765
19,22.755146954510664,34.43035130887418,11.67520471521326,26.409933097019547,42.91401387024989,16.50408074416503
20,23.05012996776684,33.919652526443066,10.86952219782649,26.35007345315182,42.849172415446006,16.49909893239844
21,22.429878028663428,34.099674688803184,11.669796634364772,26.275982133605595,42.90231312213979,16.626330986208966
22,22.71843657622466,35.240997211353196,12.522560738228464,26.270665549434714,42.94976964589819,16.679104103439155
23,22.679867151621227,33.58889430278057,10.909027589334023,26.232965494107386,42.69850832508317,16.46554284509322
24,22.93023279550913,34.313408310348926,11.383175153990049,26.232848678968875,42.763065663334054,16.53021696418555
25,22.35592790552088,34.45501420304582,12.099086297524941,26.180547820197212,42.548013771174055,16.367465987266957
26,22.517092833647858,35.187070795007656,12.669978116009686,26.132534702079134,42.50805949101835,16.375524761368695
27,22.690090952692806,36.194273768244564,13.50418268667685,26.12053473707443,42.39030962844046,16.269774886300365
28,22.262981105495143,33.670608108108105,11.407626976837983,26.10461432574228,42.49444958591494,16.389835251619157
29,22.393375706028294,33.425448804288294,11.032073175584948,26.09590527356107,42.39372127789398,16.297815979502833
30,22.498866416312552,33.91921228975863,11.420346028095967,26.069593307491132,42.23468672394628,16.165093418365153
31,22.481275816221494,34.058754225034974,11.577478357263514,26.053371407685898,42.22646036383915,16.173088942451038
32,22.351180978723473,35.6352211204735,13.284039497375488,26.035975489621375,42.15415133984817,16.118175852967237
33,22.32689367758261,40.45669751553922,18.12980450810613,26.015009029199753,42.12030369842646,16.105294662583212
34,22.663479469917917,35.24553350500158,12.582053931983742,26.002853015705668,42.39259182655284,16.38973882994723
35,20.449185087874127,45.682438206028294,25.233252963504277,25.971594050967788,42.561453557853206,16.589859543175532
36,22.528556978380358,34.12625802529825,11.597701124242834,25.95368802792434,42.61067963676227,16.656991604270523
37,22.17912766740129,35.36857831800306,13.189450882576608,25.983890999654825,42.24105148222421,16.257160490790714
38,22.471518129915804,36.19503114030168,13.723513087710819,25.94570932982899,41.97353591872441,16.027826597947186
39,22.089942880578942,33.612191793080925,11.522249505326554,25.961984807794746,42.250988823742205,16.28900399468826
40,22.4538736085634,33.581963358698665,11.128089904785156,25.942475263269387,42.613303294127014,16.67082804746638
41,22.50648529465134,33.85092627035605,11.344440769504857,25.904709454074382,42.276633438354835,16.371923962606033
42,22.447470742302972,33.3558458379797,10.908375353426546,25.91931821975256,41.75024084976765,15.830922604603703
43,22.245510204418284,33.28926998860127,11.043759964607858,25.864916338068564,42.34561212965521,16.480695777967473
44,22.117598610955316,32.46799907168827,10.35039979058343,25.87356875010045,42.07081005856452,16.197241272838305
45,22.048873746717298,33.49681555258261,11.447941470790553,25.859696335594897,41.90000357240885,16.040307248938337
46,22.526976868912982,33.29086231540989,10.763885678471746,25.872179182013415,41.901709451612305,16.029530258304938
47,22.36653456816802,32.873592531358874,10.507057860090926,25.853098189029406,42.31991130539201,16.466813080487704
48,22.292739971263988,33.961241283932246,11.66850133844324,25.845081393953734,41.84506590380481,15.999984509435858
49,22.132983388127506,34.38994484978753,12.256961461660024,25.84184039224527,41.89691442099651,16.05507403572691
50,23.505795865445524,45.00139102420292,21.495594926782555,25.870709306643175,42.041154707653185,16.170445391044762
51,22.318235139589053,33.080512124138906,10.762277242299673,25.823105016015457,42.13353120969256,16.31042621535152
52,22.513070235381257,34.38369256096917,11.870622093613083,25.840956091341013,41.92622563300005,16.085269541160773
53,22.01360001435151,33.478204108573294,11.464604042671823,25.81741093692361,41.99155831444932,16.174147348958662
54,22.239543914794922,34.23736293895824,11.997819694312843,25.819982805388268,41.99158888318239,16.17160605935841
55,22.31676854314031,33.81052264651737,11.493753871402225,25.818338965173798,42.37376993086977,16.555430957474638
56,22.2473448676032,34.80251106056007,12.555166734231484,25.785621881069765,41.847035477444585,16.06141358616044
57,22.420433714583112,34.159592808903874,11.739158630371094,25.811316505453387,41.89667953609465,16.08536302100819
58,22.078778601981497,34.02137246003022,11.942593445649019,25.769792406951787,42.377266715769565,16.607474307156906
59,21.97911551192,33.35571536502323,11.376599646903372,25.77027851478101,41.789312523775756,16.019033992302955
60,22.289128690152555,33.13966008779165,10.850531552288983,25.76589414775268,42.49976341469451,16.733869317349388
61,21.955615533364785,34.527700888144004,12.572085457879144,25.749590611798304,42.07025819703371,16.320667578342775
62,22.123869663960225,33.04628346417401,10.922413722888843,25.722966786254702,41.95667941127659,16.233712641464546
63,22.019664867504222,33.28250271565205,11.262837757935396,25.73044380033859,41.684751554799384,15.954307782861756
64,22.170729095871383,35.77396434062236,13.603235244750977,25.741785479272878,41.88136600625926,16.13958050489675
65,22.328740506558805,34.74904158308699,12.420301334278003,25.723820436212584,41.37011978743343,15.646299360936961
66,22.494384507875186,34.64480095940667,12.150416838156211,25.72498530736994,42.073947661016845,16.34896239599921
67,22.220595849526894,33.635843844027136,11.415248071825182,25.711860977619295,41.971664225087686,16.25980323368313
68,22.37325384810164,34.97399943583721,12.600745123785895,25.73589215416478,43.16033542218502,17.424443214955293
69,21.991271869556325,32.395265012174036,10.403992833317938,25.732362760811558,42.02743749209955,16.29507471542664
70,22.409984485523122,33.93981562434016,11.529831576991725,25.716361128216793,41.78594524592151,16.069584127005616
71,22.192817533338392,33.68879916216876,11.495981680380332,25.704591517745722,41.88186992829953,16.177278392450273
72,22.01810331602354,32.52808199702083,10.509978835647171,25.703855874604027,42.198839266347534,16.4949833905809
73,21.84709136550491,33.72623923018172,11.879148096651644,25.685404056873274,41.72501251814632,16.039608483445722
74,21.93877209843816,32.5573706755767,10.618598164738836,25.692841854879394,41.8059867977141,16.113144966917393
75,22.079610257535368,33.31143301886481,11.231823147954168,25.669508995473365,42.22544709965976,16.55593811448382
76,22.154302906345677,33.44020178511336,11.285898569467905,25.678136652498367,41.91536801171112,16.237231330230486
77,22.23537439913363,35.33261768237965,13.09724387607059,25.665638991740888,42.574000047997956,16.90836106364796
78,21.962092631572002,33.519408097138275,11.557315078941551,25.677947293171606,41.94145941692792,16.263512111299754
79,21.858851458575273,32.743528881588496,10.884677758087983,25.67394742796289,41.66959563301482,15.995648199737134
80,22.589841120951885,33.8790472906989,11.28920604087211,25.6707382552593,41.627930714252805,15.957192479837484
81,22.180739583195866,32.72823710054965,10.547497775103595,25.646633177590843,41.86656663211037,16.219933456678667
82,21.73298289324786,32.336763949007604,10.603781210409629,25.658205195778713,41.61865349373972,15.960448299040573
83,21.952773790101748,33.048277004345046,11.095503240018278,25.628289144323993,42.47416811112284,16.845878923366975
84,22.466408909978092,33.13783362105086,10.671424685297785,25.655165551058385,41.531657733804295,15.876492176849807
85,21.662245879302155,38.97911030537373,17.316864451846563,25.66616566544084,43.37137056999778,17.705204889858198
86,22.33223141850652,37.14759971000053,14.815368214169064,25.698097753342083,42.08935434134818,16.391256583853906
87,22.200664571813636,32.69462776184082,10.493963447777,25.65379753149332,41.67220955067751,16.018411974921868
88,22.094220960462415,32.941988661482526,10.847767185520482,25.669951998784708,41.78835417409675,16.118402151644585
89,22.071871886382233,32.042713216833164,9.97084125312599,25.65403403159593,41.66378335743489,16.009749295195817
90,22.10289563359441,32.404343837016334,10.301448138984474,25.666551135384385,41.904957977249744,16.238406859802808
91,22.337990271078574,32.19181952605376,9.85382890701294,25.640378591616532,42.26678604516614,16.626407460774416
92,22.033974157797324,33.8353143124967,11.801340438224173,25.64077535434618,42.110796845694196,16.47002146410967
93,22.08509259610563,32.412815970343516,10.327723245362979,25.639840408884577,41.80058314052038,16.16074272798188
94,22.076557262523753,32.88135038839804,10.80479384757377,25.629767670526775,41.431532604691874,15.801764937985114
95,22.06423568725586,33.94110437341639,11.87686840263573,25.63147154372563,41.91941896708989,16.28794743756474
96,22.504963075792467,32.72456999082823,10.219606940810745,25.62640800878006,41.76349323562361,16.137085192297363
97,22.227233061919343,32.73709544619999,10.509862306955698,25.601835193222136,42.131950148552896,16.530114952590313
98,23.71979285575248,41.75157825366871,18.031785526791133,25.68863939450037,43.50041702872409,17.811777644105923
99,21.84991150933343,34.43330424540752,12.583392864948994,25.631464088556868,42.319969897069235,16.68850582055371
