epochs,test_kl_losses,test_losses,test_recon_latent_losses,test_recon_losses,train_kl_losses,train_losses,train_recon_latent_losses,train_recon_losses
0,47.986644847972975,137.12285387193833,0.06202863871648505,22.540972941630596,46.76009409639625,218.9203558017966,0.09138395607916529,97.98498095024425
1,46.46938148704735,132.14046705091323,0.06815876086821428,18.754077086577546,46.52311739461508,156.7845231112351,0.06955349684255967,42.872239239744836
2,38.46955613832216,123.44846797633815,0.08097757640722636,22.216083629711253,40.796584178827565,142.7710426673371,0.06778824054975048,40.841402048019944
3,38.297221518851615,135.14489869813661,0.10664719383458833,26.556297611545872,39.46961709324469,137.88361732937327,0.06700715613890425,38.84223637652289
4,34.472556036871836,116.99946119978621,0.07672767723734314,25.03604522911278,37.02396759892208,132.375191844992,0.06495120971668311,38.8418936148125
5,35.854005246549036,118.19695488182273,0.08307050128240843,21.56779552150417,36.25806443743571,130.04557423872302,0.0647391838588285,38.10769026057723
6,33.572287688384186,110.47966415817673,0.06654672898553513,23.371071892815667,35.29629445549338,127.44570667010407,0.06357888610321848,37.77945192995407
7,40.21198643864812,121.39090831859691,0.0767963949490238,17.92801707499736,35.00095843172621,126.34474875776662,0.06362051958135823,37.25667607979424
8,31.315591399734085,119.90585780788112,0.09607904786999161,28.450960623251426,34.429547622784305,124.72702155450378,0.06274128217510919,37.045541676109735
9,32.95697031794368,107.0644910657728,0.06394304979491879,21.96763559289881,34.23970667886552,123.7429979976068,0.06218025687522732,36.609507578003075
10,33.819716891726934,113.02011747617979,0.08045295646061769,21.244796392079945,34.07691507595252,123.24686633514968,0.06228752490924558,36.40677879081707
11,29.804551614297402,107.8839758795661,0.06989450088223896,27.30652128683554,33.78699333117175,122.3147337204984,0.06182110263310432,36.194416271357206
12,31.1773387290336,107.35488499821844,0.0687476761035017,24.375905835950697,33.588781521570304,121.64814809189986,0.06135745256268544,36.06334936971741
13,31.926075497189082,105.73888933336413,0.06410298738125209,22.655841930492503,33.375304704757156,120.79418220772473,0.06076880240146602,35.812932101163
